name;description;category;supplier_name;editor;criticality;lifecycle;is_suite;version;go_live_date;end_of_support_date;retired_date;external_facing;data_class;contains_pii;status;business_owner_email_1;it_owner_email_1;notes
Sophos Intercept X;Endpoint protection, EDR and threat response;SaaS;Sophos;Sophos;high;active;false;Advanced;2021-06-01;;;false;restricted;false;enabled;lucas.bernard@fromage-co.com;pierre.martin@fromage-co.com;2050+ endpoints protected across all sites
Fortinet FortiGate;Next-gen firewall and network security;COTS;Fortinet;Fortinet;high;active;false;FortiOS 7.4;2021-01-01;;;false;restricted;false;enabled;lucas.bernard@fromage-co.com;pierre.martin@fromage-co.com;Deployed at all 6 sites — HA pairs at Paris DC
Tenable.io;Cloud-based vulnerability scanning and assessment;SaaS;;;medium;active;false;;2023-06-01;;;false;internal;false;enabled;lucas.bernard@fromage-co.com;lucas.bernard@fromage-co.com;Quarterly external + continuous internal scanning
Datadog;Infrastructure monitoring, APM and log management;SaaS;Datadog;Datadog;high;active;false;Enterprise;2022-03-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Monitors all production systems, APIs and IoT infra
PagerDuty;Incident alerting and on-call management;SaaS;;;medium;active;false;Business;2023-03-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;On-call rotation for IT ops team — integrated with Datadog
PRTG Network Monitor;On-premise network and bandwidth monitoring;COTS;;;medium;active;false;23.4;2019-01-01;;;false;internal;false;enabled;pierre.martin@fromage-co.com;pierre.martin@fromage-co.com;Monitors WAN links, switches and UPS across all sites
VMware vSphere;Server virtualization platform;COTS;Broadcom;VMware;business_critical;active;false;8.0;2016-06-01;;;false;restricted;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Runs all on-premise VMs — 4 ESXi hosts at Paris, 1 each at Gouda/Parma
Veeam Backup & Replication;Enterprise backup and disaster recovery;COTS;Veeam;Veeam;high;active;false;12.1;2019-03-01;;;false;restricted;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Backs up all VMs and critical databases — RPO 4h / RTO 8h
GitHub Enterprise;Source code management and CI/CD;SaaS;Microsoft;GitHub;medium;active;false;Enterprise Cloud;2021-06-01;;;false;confidential;false;enabled;amelie.rousseau@fromage-co.com;amelie.rousseau@fromage-co.com;35 developers — all custom apps (La Boutique, B2B Portal, etc.)
Jira Software;Agile project management and issue tracking;SaaS;Atlassian;Atlassian;medium;active;false;Cloud Premium;2020-06-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;amelie.rousseau@fromage-co.com;IT and product teams — 45 active users
Confluence;Knowledge base and documentation platform;SaaS;Atlassian;Atlassian;medium;active;false;Cloud Premium;2020-06-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;amelie.rousseau@fromage-co.com;IT runbooks, architecture decisions and project docs
Figma;Collaborative UI/UX design tool;SaaS;;;medium;active;false;Organization;2022-09-01;;;false;internal;false;enabled;isabelle.moreau@fromage-co.com;amelie.rousseau@fromage-co.com;Used for La Boutique and B2B Portal design
SonarQube;Static code analysis and quality gates;COTS;;;medium;active;false;Community;2021-09-01;;;false;internal;false;enabled;amelie.rousseau@fromage-co.com;amelie.rousseau@fromage-co.com;Integrated in GitHub CI/CD — scans all custom code
CaveGuard IoT;Real-time monitoring of cheese aging caves — temperature, humidity, pH;Custom;Schneider Electric;Schneider Electric;high;active;false;1.2-beta;2025-06-01;;;false;internal;false;enabled;jacques.dubois@fromage-co.com;marc.petit@fromage-co.com;Pilot in 2 caves at Paris site — full rollout pending
FroMag;Cheese aging management — batch tracking, turning schedules, maturation curves;COTS;Lactalis Digital;Lactalis Digital;medium;active;false;4.1;2019-11-01;2027-06-30;;false;internal;false;enabled;catherine.blanc@fromage-co.com;sophie.laurent@fromage-co.com;Niche vendor — viability under review, may consolidate into SAP
CheeseTrack;Cold chain traceability — production to delivery with IoT integration;SaaS;ColdChain Solutions;ColdChain Solutions;high;active;false;3.0;2023-06-01;;;true;confidential;false;enabled;jacques.dubois@fromage-co.com;marc.petit@fromage-co.com;Mandatory for AOP/DOP certification and EU compliance
QualityLab LIMS;Laboratory information management for cheese quality testing;Custom;;;medium;active;false;2.3;2017-06-01;;;false;confidential;false;enabled;catherine.blanc@fromage-co.com;amelie.rousseau@fromage-co.com;In-house system — tracks all quality tests and certifications
Power BI;Business intelligence dashboards and self-service analytics;SaaS;Microsoft;Microsoft;medium;active;false;Pro;2021-01-01;;;false;confidential;false;enabled;marie.fontaine@fromage-co.com;hugo.mercier@fromage-co.com;Connected to SAP BW, Salesforce and CheeseTrack
Snowflake;Cloud data platform for advanced analytics;SaaS;Snowflake;Snowflake;medium;active;false;Enterprise;2025-09-01;;;false;confidential;false;enabled;marie.fontaine@fromage-co.com;hugo.mercier@fromage-co.com;Project Fondue pilot — cross-entity data warehouse
Talend Data Integration;ETL and data integration platform;COTS;;;medium;active;false;8.0;2020-06-01;;;false;internal;false;enabled;hugo.mercier@fromage-co.com;hugo.mercier@fromage-co.com;SAP-to-Salesforce sync, data feeds to Power BI
La Boutique du Fromage;Direct-to-consumer e-commerce for cheese subscription boxes;Custom;;;medium;proposed;false;0.9-alpha;;;;true;confidential;true;enabled;isabelle.moreau@fromage-co.com;amelie.rousseau@fromage-co.com;Fromage-as-a-Service project — React + Node.js on AWS
Fromage B2B Portal;Self-service ordering portal for wholesale distributors;Custom;;;medium;active;false;3.2;2021-03-01;;;true;confidential;true;enabled;isabelle.moreau@fromage-co.com;amelie.rousseau@fromage-co.com;500+ active distributor accounts across Europe
Cave Monitoring Dashboard;Real-time cave conditions visualization (Grafana-based);Custom;;;medium;active;false;1.5;2024-03-01;;;false;internal;false;enabled;jacques.dubois@fromage-co.com;marc.petit@fromage-co.com;Custom Grafana dashboards over CaveGuard data
DocuSign;Electronic signatures for contracts, procurement and HR;SaaS;DocuSign;DocuSign;medium;active;false;Business;2022-09-01;;;true;confidential;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;80 envelopes/month — procurement, legal and HR
Adobe Acrobat Pro;PDF creation, editing and digital signatures;SaaS;Adobe;Adobe;low;active;false;DC;2018-01-01;;;false;internal;false;enabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;200 licenses across all entities
Cisco Meraki;Cloud-managed network switches and wireless access points;COTS;Cisco;Cisco;medium;active;false;MR/MS;2021-06-01;;;false;internal;false;enabled;pierre.martin@fromage-co.com;pierre.martin@fromage-co.com;Office networks at Gouda, Parma and New York sites
Lotus Notes;Legacy email and collaboration platform;Legacy;;;low;retired;false;9.0;2005-01-01;;2023-06-30;false;internal;true;disabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Fully decommissioned — migrated to Exchange/SharePoint in 2023
AS/400 Order Management;Legacy order processing for French wholesale channel;Legacy;;;low;deprecated;false;;1998-01-01;2027-06-30;;false;restricted;true;enabled;isabelle.moreau@fromage-co.com;sophie.laurent@fromage-co.com;150 orders/day still processed — SAP Cheddar will absorb this
Legacy HR System;On-premise HR and payroll (PeopleSoft);Legacy;;;low;deprecated;false;9.2;2008-01-01;2026-09-30;;false;restricted;true;enabled;marie.fontaine@fromage-co.com;sophie.laurent@fromage-co.com;Being replaced by Workday — FR payroll still running here
Old Intranet;PHP-based company intranet;Legacy;;;low;retired;false;;2010-01-01;;2024-12-31;true;internal;false;disabled;thomas.berger@fromage-co.com;pierre.martin@fromage-co.com;Replaced by SharePoint Online — content migrated in 2024
